word_count,duration_seconds,words_per_minute,filler_ratio,unique_ratio,avg_word_length,speech_confidence,repetition_ratio,pause_count,keyword_score,pattern_score,fluency_score,accuracy_score
19.0,10.05,113.49,0.0726,0.7354,4.085,0.8449,0.0471,2.0,64.64,46.18,75.29,60.1
10.0,4.75,126.24,0.0691,0.6119,6.066,0.6146,0.0635,4.0,9.87,5.03,73.8,23.58
51.0,22.95,133.31,0.0101,0.629,4.702,0.805,0.0458,1.0,79.65,86.28,86.01,80.87
80.0,30.43,157.73,0.0297,0.7606,4.359,0.8121,0.046,2.0,80.24,66.75,82.45,82.85
58.0,17.51,198.78,0.0754,0.5402,3.574,0.7237,0.0302,2.0,87.68,44.04,69.69,70.76
76.0,32.41,140.72,0.0369,0.7157,4.724,0.9325,0.0231,1.0,89.8,85.99,89.1,84.68
33.0,12.47,158.84,0.0016,0.7549,5.248,0.9674,0.0375,2.0,99.75,83.6,91.9,98.42
55.0,27.01,122.17,0.0637,0.6959,4.359,0.7425,0.0926,3.0,60.51,64.12,73.14,66.31
79.0,31.25,151.7,0.0262,0.8189,5.81,0.7842,0.0163,0.0,75.93,92.24,85.88,78.58
82.0,37.69,130.55,0.0113,0.8224,6.068,0.9712,0.0101,0.0,86.26,89.55,85.47,89.59
10.0,6.38,94.05,0.136,0.5256,4.643,0.3581,0.136,4.0,64.38,42.46,53.47,53.68
62.0,29.31,126.94,0.0679,0.5802,6.139,0.6684,0.093,3.0,79.18,72.95,67.66,74.11
26.0,7.27,214.67,0.0344,0.6063,4.013,0.6013,0.0532,1.0,68.13,50.5,66.86,64.29
50.0,21.67,138.45,0.0319,0.8718,6.196,0.809,0.0387,0.0,73.47,78.65,86.82,77.29
37.0,14.67,151.31,0.0888,0.5009,5.258,0.6386,0.0833,3.0,55.01,74.82,65.41,58.49
37.0,15.09,147.09,0.02,0.8258,3.667,0.9171,0.0496,1.0,99.98,83.08,92.7,95.84
32.0,15.56,123.36,0.0331,0.6817,4.567,0.6989,0.083,2.0,75.79,71.96,81.02,77.85
30.0,7.41,243.05,0.0286,0.6813,3.548,0.5336,0.0438,1.0,65.62,33.38,64.13,50.6
25.0,6.6,227.4,0.0694,0.4538,5.694,0.5514,0.1075,0.0,79.51,56.95,64.07,66.92
55.0,14.11,233.9,0.0503,0.6401,5.504,0.6626,0.0631,0.0,50.52,40.42,68.29,51.86
38.0,14.44,157.92,0.0159,0.9171,5.85,0.8088,0.0327,0.0,83.46,78.75,95.8,74.08
66.0,26.18,151.24,0.0116,0.8404,3.474,0.8989,0.0275,0.0,94.86,89.87,91.69,88.82
49.0,23.9,123.03,0.0755,0.728,4.281,0.7571,0.0508,2.0,55.02,58.49,78.9,57.87
50.0,22.47,133.49,0.0358,0.8139,6.02,0.8161,0.0445,0.0,84.1,81.66,89.84,88.62
25.0,18.25,82.18,0.11,0.3497,5.809,0.4224,0.1392,4.0,32.93,21.06,47.02,28.86
60.0,26.55,135.59,0.0244,0.6816,3.723,0.9666,0.0465,1.0,72.99,68.76,80.38,72.78
58.0,23.61,147.39,0.0726,0.7987,5.015,0.4177,0.0601,4.0,16.99,37.95,74.76,27.0
26.0,12.52,124.56,0.1171,0.5523,3.941,0.559,0.0785,3.0,9.74,12.84,69.14,23.79
29.0,24.39,71.35,0.1404,0.5099,4.663,0.6744,0.2106,5.0,42.62,29.82,53.61,41.1
20.0,17.69,67.83,0.1284,0.4336,4.001,0.3831,0.1032,6.0,57.54,32.51,41.82,45.54
44.0,17.48,151.01,0.0658,0.6807,5.021,0.6147,0.0956,4.0,59.52,76.58,73.63,63.57
41.0,43.88,56.06,0.1841,0.5756,4.326,0.5237,0.1452,6.0,25.25,50.4,39.69,44.73
10.0,9.77,61.42,0.1885,0.469,3.925,0.5378,0.2152,4.0,68.36,53.5,37.43,60.85
22.0,9.13,144.6,0.0589,0.6493,4.569,0.875,0.0686,1.0,60.72,51.65,79.64,65.59
24.0,7.03,204.75,0.0725,0.4077,5.271,0.6822,0.0717,0.0,73.13,38.17,65.1,56.27
64.0,26.32,145.89,0.0086,0.6619,4.534,0.8196,0.0172,1.0,72.9,98.16,89.7,88.37
64.0,24.02,159.86,0.0254,0.7487,6.084,0.8705,0.0018,1.0,86.04,99.77,87.76,88.44
44.0,25.76,102.48,0.0862,0.7312,4.898,0.6329,0.0248,4.0,75.88,42.01,65.33,61.29
58.0,33.63,103.47,0.0881,0.5732,5.828,0.653,0.0429,2.0,80.68,39.24,70.06,59.8
40.0,15.38,156.04,0.0327,0.7183,5.374,0.6183,0.0743,5.0,38.26,38.87,66.41,42.22
31.0,15.3,121.53,0.0354,0.5032,3.498,0.8184,0.0557,2.0,79.44,62.55,78.29,68.9
50.0,23.79,126.1,0.1136,0.7909,3.946,0.4945,0.0249,2.0,10.68,2.53,72.37,16.59
32.0,30.44,63.07,0.1921,0.5053,4.033,0.6524,0.2128,6.0,40.66,19.08,43.36,41.58
33.0,15.26,129.73,0.041,0.5762,5.421,0.7829,0.0738,4.0,61.09,45.29,77.84,58.66
78.0,32.3,144.91,0.0208,0.7725,4.581,0.8717,0.0497,0.0,84.59,81.73,92.27,80.02
54.0,31.52,102.8,0.0889,0.6207,5.215,0.8511,0.058,3.0,47.23,72.0,67.95,67.13
15.0,11.22,80.24,0.1287,0.5188,5.674,0.5851,0.2145,8.0,41.69,34.13,48.62,38.78
44.0,18.73,140.99,0.0379,0.5396,3.71,0.7755,0.0798,1.0,78.1,47.27,76.5,66.95
52.0,21.34,146.18,0.0353,0.8482,3.813,0.9287,0.0088,0.0,80.73,81.74,92.81,81.63
71.0,27.81,153.2,0.0028,0.7643,5.698,0.9443,0.0374,1.0,94.45,80.69,89.22,94.02
42.0,17.91,140.68,0.0096,0.8455,4.248,0.8459,0.0136,1.0,73.93,80.36,85.04,73.07
23.0,6.35,217.37,0.0586,0.6775,5.616,0.8496,0.0852,2.0,82.71,75.43,72.29,84.43
64.0,26.52,144.77,0.0163,0.7905,5.62,0.896,0.0418,1.0,73.26,72.88,85.55,73.62
15.0,8.04,112.0,0.0602,0.5072,4.23,0.6425,0.1139,5.0,17.75,22.28,66.17,23.8
67.0,28.49,141.12,0.0334,0.8244,5.957,0.8203,0.0088,2.0,94.36,74.26,87.43,83.01
45.0,13.3,202.95,0.0779,0.4847,5.561,0.6505,0.0689,0.0,52.15,68.79,65.82,55.69
69.0,28.0,147.85,0.0398,0.6316,4.507,0.8237,0.0259,0.0,94.3,68.12,80.5,76.5
38.0,16.12,141.4,0.0192,0.8785,4.529,0.9149,0.0345,0.0,99.49,79.41,94.19,96.2
25.0,7.84,191.36,0.0481,0.4642,5.941,0.5649,0.0717,2.0,53.89,69.8,65.18,60.37
22.0,12.29,107.43,0.0866,0.6006,3.853,0.6629,0.0877,2.0,59.77,36.58,68.09,55.94
52.0,19.62,159.04,0.0339,0.6883,5.528,0.7906,0.0434,2.0,79.17,86.66,81.67,82.39
15.0,7.45,120.89,0.1077,0.611,3.73,0.6979,0.1021,4.0,32.73,11.51,61.26,33.51
26.0,22.03,70.8,0.1902,0.5939,3.928,0.4364,0.1831,6.0,55.51,38.54,41.53,42.43
68.0,16.39,248.97,0.0411,0.6042,5.852,0.6659,0.1188,2.0,44.5,50.62,61.07,48.78
48.0,19.38,148.59,0.0481,0.7111,3.468,0.6943,0.0685,4.0,69.36,72.33,73.14,67.25
30.0,31.46,57.21,0.1288,0.5795,5.499,0.3608,0.1355,5.0,67.53,17.29,44.04,41.02
64.0,19.29,199.04,0.0519,0.6494,5.388,0.586,0.0508,2.0,41.3,77.93,69.01,49.51
11.0,9.04,72.98,0.1697,0.3805,3.795,0.6608,0.1936,5.0,40.73,41.04,40.53,46.28
51.0,30.05,101.84,0.0412,0.436,3.771,0.448,0.0271,2.0,41.62,2.96,62.86,28.3
22.0,5.45,242.34,0.0583,0.5671,3.875,0.7495,0.0703,1.0,56.61,53.38,59.7,59.58
74.0,27.98,158.68,0.0132,0.8258,4.007,0.9598,0.0039,0.0,92.95,75.77,89.87,86.2
69.0,35.71,115.94,0.0633,0.6666,5.289,0.7709,0.0699,3.0,50.0,66.21,71.57,57.43
18.0,10.31,104.77,0.0433,0.6123,5.529,0.808,0.039,2.0,75.7,59.56,70.83,76.67
34.0,27.32,74.67,0.154,0.5006,5.981,0.6081,0.0901,8.0,48.21,36.67,48.73,50.68
35.0,20.46,102.66,0.0417,0.4381,3.49,0.4002,0.0632,3.0,33.46,29.34,62.34,33.01
58.0,26.0,133.86,0.0526,0.6566,4.801,0.5649,0.096,1.0,13.54,36.23,77.05,32.27
50.0,27.25,110.08,0.045,0.5051,5.189,0.633,0.1194,2.0,41.64,21.07,63.28,41.7
51.0,19.33,158.31,0.0121,0.7519,4.154,0.987,0.0493,1.0,97.18,92.95,86.09,97.37
14.0,10.44,80.47,0.1372,0.5448,5.781,0.4667,0.1263,6.0,30.73,23.49,43.52,25.49
79.0,25.43,186.38,0.039,0.4566,5.029,0.7296,0.0548,1.0,43.12,32.75,71.8,48.9
60.0,25.21,142.79,0.0177,0.6415,5.931,0.9486,0.0447,1.0,70.33,71.25,87.39,76.24
78.0,30.39,153.99,0.024,0.9059,4.028,0.8838,0.015,1.0,84.32,77.59,93.12,87.24
41.0,11.52,213.55,0.0586,0.5953,4.73,0.7718,0.1029,0.0,74.16,35.14,65.75,55.81
81.0,33.94,143.2,0.0166,0.673,3.45,0.9531,0.0463,0.0,76.04,97.54,92.76,83.29
82.0,30.04,163.81,0.0362,0.9112,5.121,0.8956,0.0039,2.0,95.49,86.48,84.84,94.5
69.0,32.34,128.0,0.0292,0.8747,5.453,0.8792,0.0255,2.0,79.37,98.93,89.43,89.54
73.0,26.92,162.7,0.0294,0.6846,5.132,0.9605,0.0189,1.0,95.55,73.46,81.79,88.87
31.0,30.48,61.02,0.0924,0.5223,4.198,0.4689,0.09,8.0,46.39,48.92,42.74,45.34
19.0,15.65,72.86,0.2134,0.5152,3.828,0.3906,0.2039,8.0,47.02,21.37,33.21,38.68
40.0,19.31,124.26,0.0549,0.6366,5.224,0.6783,0.0226,1.0,67.73,51.82,71.26,63.31
34.0,16.77,121.67,0.0786,0.5934,4.366,0.7485,0.0675,2.0,45.81,58.18,70.26,51.5
70.0,22.53,186.45,0.0561,0.6444,6.147,0.5997,0.1009,2.0,70.35,76.46,68.48,68.23
27.0,23.67,68.45,0.2183,0.3249,6.139,0.5084,0.198,3.0,39.58,36.59,39.46,40.84
59.0,28.26,125.28,0.0291,0.5695,4.813,0.772,0.0702,2.0,40.93,10.35,74.13,33.98
38.0,18.77,121.44,0.0618,0.773,3.961,0.6522,0.0441,4.0,46.15,52.63,72.2,55.03
21.0,18.21,69.21,0.1288,0.535,3.999,0.5133,0.1306,4.0,63.37,40.74,50.15,50.35
63.0,29.09,129.96,0.0095,0.8441,5.389,0.8075,0.0403,1.0,98.11,86.23,85.01,86.5
44.0,20.54,128.55,0.062,0.5334,3.511,0.7717,0.0211,1.0,79.32,46.91,72.54,62.59
60.0,31.21,115.36,0.0416,0.5936,3.471,0.7078,0.0471,1.0,57.13,39.04,72.74,54.55
27.0,12.93,125.3,0.0732,0.5258,4.616,0.7096,0.0965,5.0,36.24,35.82,67.94,45.4
19.0,10.84,105.19,0.0897,0.711,5.638,0.6261,0.0725,4.0,46.26,69.66,70.5,53.88
74.0,31.36,141.57,0.0017,0.7545,4.157,0.8357,0.0196,0.0,82.75,95.78,92.6,89.4
55.0,26.83,122.98,0.0454,0.6308,5.707,0.6425,0.0482,3.0,65.93,53.6,74.56,68.66
49.0,12.28,239.48,0.0285,0.5685,6.003,0.5595,0.1036,2.0,68.04,43.17,69.66,58.85
35.0,9.38,223.86,0.069,0.4216,6.024,0.6793,0.0533,0.0,71.82,35.93,63.2,61.36
22.0,9.46,139.49,0.0566,0.5269,4.751,0.6292,0.1,3.0,61.85,74.26,75.32,69.78
64.0,23.57,162.9,0.0126,0.7265,4.109,0.875,0.0208,2.0,75.7,96.44,87.03,86.22
35.0,15.16,138.56,0.0262,0.6482,4.296,0.9795,0.0374,1.0,96.29,69.78,94.09,89.79
61.0,30.43,120.29,0.0453,0.5958,4.367,0.6551,0.041,1.0,68.2,52.47,74.5,62.1
31.0,12.15,153.14,0.0613,0.7529,6.163,0.8222,0.0247,3.0,60.88,66.42,84.67,72.26
9.0,6.35,85.06,0.1511,0.537,5.759,0.6543,0.1681,3.0,52.56,48.96,50.16,54.68
34.0,22.82,89.41,0.1708,0.4461,3.662,0.4158,0.1275,4.0,56.67,24.2,46.02,42.99
45.0,16.48,163.88,0.0283,0.8032,3.521,0.8446,0.015,0.0,71.19,90.5,87.32,83.52
25.0,12.19,123.01,0.0686,0.5745,5.915,0.5299,0.0722,4.0,20.95,23.93,59.79,25.96
16.0,8.04,119.37,0.0472,0.5324,3.588,0.8139,0.0597,1.0,79.01,36.47,79.05,68.6
37.0,19.91,111.49,0.0419,0.6521,3.788,0.7394,0.0664,4.0,58.94,72.2,74.28,67.27
51.0,23.59,129.74,0.0269,0.4681,3.586,0.4277,0.0928,2.0,15.66,28.95,80.04,23.08
46.0,21.69,127.25,0.0341,0.6904,4.802,0.8951,0.0213,0.0,93.87,82.11,89.94,90.02
76.0,21.11,216.05,0.0732,0.6129,4.86,0.7398,0.0537,0.0,60.09,48.33,69.23,62.88
57.0,28.48,120.08,0.039,0.7416,4.065,0.7686,0.0307,2.0,70.67,73.14,80.83,72.6
46.0,16.78,164.49,0.0018,0.8444,3.431,0.7951,0.0296,2.0,92.68,77.57,89.62,82.3
37.0,20.78,106.82,0.0633,0.6589,4.092,0.8218,0.0802,1.0,78.02,71.26,75.75,77.66
44.0,19.2,137.5,0.0885,0.6051,4.877,0.7505,0.059,4.0,48.97,45.65,69.44,55.49
34.0,13.11,155.61,0.0039,0.8901,5.521,0.9324,0.0034,0.0,90.76,87.11,93.7,92.46
25.0,18.1,82.89,0.214,0.4963,3.849,0.5825,0.1412,4.0,59.03,59.9,38.69,60.08
61.0,35.64,102.7,0.0543,0.6549,5.613,0.7639,0.0726,3.0,71.65,63.87,68.95,65.17
61.0,24.73,148.01,0.0707,0.5071,5.062,0.7658,0.0377,3.0,72.16,72.23,72.65,71.17
61.0,26.18,139.78,0.0612,0.5905,6.044,0.6141,0.0314,4.0,52.14,51.8,73.29,59.35
42.0,15.99,157.63,0.0153,0.8518,4.526,0.9486,0.0055,1.0,88.26,98.57,94.39,92.49
42.0,19.59,128.66,0.0412,0.7278,5.722,0.5994,0.0234,3.0,30.27,38.02,75.36,37.47
42.0,19.8,127.27,0.0842,0.585,5.743,0.5679,0.0319,5.0,8.58,9.31,66.01,14.89
44.0,42.91,61.53,0.1589,0.4304,5.927,0.5692,0.2077,4.0,31.79,56.1,40.52,44.7
30.0,21.79,82.62,0.0823,0.6074,4.827,0.555,0.1894,6.0,41.98,15.56,55.72,38.77
60.0,27.9,129.01,0.0525,0.771,4.798,0.6484,0.0456,1.0,55.88,59.45,79.68,52.24
45.0,26.63,101.38,0.0457,0.6191,4.846,0.6087,0.0694,3.0,70.1,68.6,72.16,66.85
73.0,28.97,151.2,0.0398,0.6247,5.136,0.8971,0.0376,0.0,94.8,84.08,85.3,95.7
36.0,17.14,126.04,0.0334,0.643,3.865,0.8209,0.0002,2.0,83.36,76.7,84.76,82.6
58.0,15.3,227.42,0.0275,0.4945,6.062,0.8197,0.038,2.0,59.53,77.13,68.27,68.69
54.0,31.85,101.74,0.0386,0.6643,5.694,0.6651,0.0733,4.0,58.0,74.9,63.64,66.28
23.0,12.45,110.86,0.0817,0.7269,6.009,0.8526,0.0902,2.0,80.51,45.28,71.33,70.79
20.0,18.03,66.54,0.1138,0.3447,4.6,0.5238,0.2043,5.0,53.36,38.44,42.18,52.19
42.0,10.88,231.58,0.0656,0.584,5.636,0.802,0.0562,0.0,82.32,66.47,68.26,74.32
18.0,7.35,146.97,0.0945,0.5811,4.032,0.7708,0.0594,3.0,25.92,4.24,78.48,28.95
46.0,21.73,127.04,0.0783,0.7485,4.652,0.6196,0.066,1.0,62.29,62.64,74.74,56.77
16.0,12.99,73.89,0.1945,0.5437,5.032,0.4695,0.1921,6.0,63.41,21.91,39.43,50.9
56.0,29.47,114.03,0.0607,0.7646,3.864,0.7068,0.0901,3.0,81.52,74.37,77.85,76.08
66.0,28.72,137.88,0.062,0.5964,4.044,0.8274,0.0768,4.0,62.33,75.16,74.22,71.39
13.0,7.26,107.48,0.0339,0.7442,4.958,0.4906,0.0703,2.0,41.66,0.49,72.74,31.32
52.0,28.56,109.24,0.0744,0.7154,4.237,0.6383,0.0515,2.0,78.04,35.12,73.84,65.77
48.0,26.19,109.98,0.0618,0.692,5.541,0.7611,0.0274,2.0,76.24,42.87,78.07,63.47
76.0,31.47,144.88,0.0013,0.6876,5.633,0.932,0.0419,0.0,72.42,95.87,97.09,86.94
28.0,20.71,81.11,0.2087,0.3502,5.291,0.4605,0.0901,6.0,67.52,35.04,38.75,44.25
46.0,17.2,160.5,0.002,0.8462,3.779,0.8545,0.0324,2.0,85.42,74.09,92.0,78.54
16.0,15.08,63.67,0.1769,0.5261,3.61,0.5387,0.2109,5.0,42.34,52.61,38.06,44.03
24.0,6.38,225.74,0.0412,0.6174,5.068,0.7696,0.1198,1.0,63.64,33.07,65.01,51.19
46.0,25.07,110.11,0.0399,0.4935,4.964,0.8445,0.0755,3.0,46.48,36.27,73.24,54.04
21.0,10.88,115.83,0.0707,0.4962,4.016,0.8676,0.0985,4.0,72.35,55.93,67.32,64.51
62.0,29.65,125.45,0.0796,0.6852,3.528,0.7801,0.072,2.0,55.01,51.73,74.04,59.96
56.0,30.13,111.52,0.0653,0.5498,4.608,0.618,0.0814,1.0,58.93,52.11,69.24,61.76
36.0,9.48,227.96,0.0459,0.6393,3.692,0.6603,0.0673,2.0,65.21,45.89,63.87,62.1
51.0,20.24,151.19,0.0322,0.6664,4.007,0.7282,0.0216,3.0,54.23,40.33,79.64,52.24
27.0,26.35,61.47,0.0931,0.4849,6.036,0.4652,0.1568,3.0,34.98,16.09,48.11,31.27
82.0,32.86,149.71,0.0244,0.916,4.576,0.7986,0.0487,2.0,76.12,86.81,88.19,81.95
54.0,23.12,140.17,0.026,0.9104,3.818,0.7921,0.0461,2.0,87.03,89.65,86.19,88.66
33.0,17.46,113.43,0.0813,0.4903,5.288,0.7985,0.1,1.0,45.28,42.25,68.15,46.82
23.0,19.83,69.61,0.1776,0.4983,4.721,0.4227,0.1588,6.0,64.69,45.01,37.54,50.69
51.0,19.84,154.26,0.0433,0.7245,5.635,0.6472,0.0427,1.0,60.48,49.6,85.06,57.84
33.0,15.12,130.92,0.0365,0.7754,5.959,0.8506,0.0079,2.0,70.35,73.68,82.3,72.37
74.0,32.82,135.29,0.0217,0.7161,5.222,0.8395,0.0287,1.0,75.5,81.42,86.74,82.51
22.0,16.26,81.16,0.1794,0.5348,5.098,0.6563,0.1659,7.0,37.52,19.48,51.44,34.31
